      #Energy        tdos
     -56.74592       0.00000
     -56.68592       0.00000
     -56.62592       0.00000
     -56.56592       0.00001
     -56.50592       0.00036
     -56.44592       0.00585
     -56.38592       0.05071
     -56.32592       0.24461
     -56.26592       0.70212
     -56.20492       1.31533
     -56.14492       1.85914
     -56.08492       2.55101
     -56.02492       4.16152
     -55.96492       7.04710
     -55.90492      10.28884
     -55.84492      12.59005
     -55.78492      13.63752
     -55.72492      13.94119
     -55.66492      13.99508
     -55.60492      14.00059
     -55.54492      14.00090
     -55.48492      14.00091
     -55.42492      14.00091
     -55.36492      14.00091
     -55.30492      14.00091
     -55.24392      14.00091
     -55.18392      14.00091
     -55.12392      14.00091
     -55.06392      14.00091
     -55.00392      14.00091
     -54.94392      14.00091
     -54.88392      14.00091
     -54.82392      14.00091
     -54.76392      14.00091
     -54.70392      14.00091
     -54.64392      14.00091
     -54.58392      14.00091
     -54.52392      14.00091
     -54.46392      14.00091
     -54.40392      14.00091
     -54.34392      14.00091
     -54.28392      14.00091
     -54.22292      14.00091
     -54.16292      14.00091
     -54.10292      14.00091
     -54.04292      14.00091
     -53.98292      14.00091
     -53.92292      14.00091
     -53.86292      14.00091
     -53.80292      14.00091
     -53.74292      14.00091
     -53.68292      14.00091
     -53.62292      14.00091
     -53.56292      14.00091
     -53.50292      14.00091
     -53.44292      14.00091
     -53.38292      14.00091
     -53.32292      14.00091
     -53.26292      14.00091
     -53.20192      14.00091
     -53.14192      14.00091
     -53.08192      14.00091
     -53.02192      14.00091
     -52.96192      14.00091
     -52.90192      14.00091
     -52.84192      14.00091
     -52.78192      14.00091
     -52.72192      14.00091
     -52.66192      14.00091
     -52.60192      14.00091
     -52.54192      14.00091
     -52.48192      14.00091
     -52.42192      14.00091
     -52.36192      14.00091
     -52.30192      14.00091
     -52.24092      14.00091
     -52.18092      14.00091
     -52.12092      14.00091
     -52.06092      14.00091
     -52.00092      14.00091
     -51.94092      14.00091
     -51.88092      14.00091
     -51.82092      14.00091
     -51.76092      14.00091
     -51.70092      14.00091
     -51.64092      14.00091
     -51.58092      14.00091
     -51.52092      14.00091
     -51.46092      14.00091
     -51.40092      14.00091
     -51.34092      14.00091
     -51.28092      14.00091
     -51.21992      14.00091
     -51.15992      14.00091
     -51.09992      14.00091
     -51.03992      14.00091
     -50.97992      14.00091
     -50.91992      14.00091
     -50.85992      14.00091
     -50.79992      14.00091
     -50.73992      14.00091
     -50.67992      14.00091
     -50.61992      14.00091
     -50.55992      14.00091
     -50.49992      14.00091
     -50.43992      14.00091
     -50.37992      14.00091
     -50.31992      14.00091
     -50.25992      14.00091
     -50.19892      14.00091
     -50.13892      14.00091
     -50.07892      14.00091
     -50.01892      14.00091
     -49.95892      14.00091
     -49.89892      14.00091
