      #Energy        tdos
     -58.52628       0.00000
     -58.46428       0.00000
     -58.40228       0.00000
     -58.34028       0.00000
     -58.27828       0.00000
     -58.21628       0.00000
     -58.15428       0.00000
     -58.09228       0.00000
     -58.03028       0.00000
     -57.96728       0.00000
     -57.90528       0.00003
     -57.84328       0.00099
     -57.78128       0.01415
     -57.71928       0.10721
     -57.65728       0.46679
     -57.59528       1.31531
     -57.53328       2.73932
     -57.47128       4.73306
     -57.40928       7.20748
     -57.34728       9.69337
     -57.28528      11.57013
     -57.22328      12.75862
     -57.16128      13.49486
     -57.09928      13.86528
     -57.03728      13.97939
     -56.97428      13.99814
     -56.91228      13.99969
     -56.85028      13.99976
     -56.78828      13.99976
     -56.72628      13.99976
     -56.66428      13.99976
     -56.60228      13.99976
     -56.54028      13.99976
     -56.47828      13.99976
     -56.41628      13.99976
     -56.35428      13.99976
     -56.29228      13.99976
     -56.23028      13.99976
     -56.16828      13.99988
     -56.10628      14.00238
     -56.04428      14.02940
     -55.98128      14.17883
     -55.91928      14.63505
     -55.85728      15.51602
     -55.79528      16.82708
     -55.73328      18.54868
     -55.67128      20.47695
     -55.60928      22.21469
     -55.54728      23.54096
     -55.48528      24.54791
     -55.42328      25.32369
     -55.36128      25.79005
     -55.29928      25.96188
     -55.23728      25.99616
     -55.17528      25.99965
     -55.11328      25.99982
     -55.05128      25.99983
     -54.98828      25.99983
     -54.92628      25.99983
     -54.86428      25.99983
     -54.80228      25.99983
     -54.74028      25.99983
     -54.67828      25.99983
     -54.61628      25.99983
     -54.55428      25.99983
     -54.49228      25.99983
     -54.43028      25.99983
     -54.36828      25.99983
     -54.30628      25.99983
     -54.24428      25.99983
     -54.18228      25.99983
     -54.12028      25.99983
     -54.05828      25.99983
     -53.99528      25.99983
     -53.93328      25.99983
     -53.87128      25.99983
     -53.80928      25.99983
     -53.74728      25.99983
     -53.68528      25.99983
     -53.62328      25.99983
     -53.56128      25.99983
     -53.49928      25.99983
     -53.43728      25.99983
     -53.37528      25.99983
     -53.31328      25.99983
     -53.25128      25.99983
     -53.18928      25.99983
     -53.12728      25.99983
     -53.06528      25.99983
     -53.00228      25.99983
     -52.94028      25.99983
     -52.87828      25.99983
     -52.81628      25.99983
     -52.75428      25.99983
     -52.69228      25.99983
     -52.63028      25.99983
     -52.56828      25.99983
     -52.50628      25.99983
     -52.44428      25.99983
     -52.38228      25.99983
     -52.32028      25.99983
     -52.25828      25.99983
     -52.19628      25.99983
     -52.13428      25.99983
     -52.07228      25.99983
     -52.00928      25.99983
     -51.94728      25.99983
     -51.88528      25.99983
     -51.82328      25.99983
     -51.76128      25.99983
     -51.69928      25.99983
     -51.63728      25.99983
     -51.57528      25.99983
     -51.51328      25.99983
     -51.45128      25.99983
     -51.38928      25.99983
     -51.32728      25.99983
     -51.26528      25.99983
     -51.20328      25.99983
     -51.14128      25.99983
     -51.07928      25.99983
     -51.01628      25.99983
     -50.95428      25.99983
     -50.89228      25.99983
     -50.83028      25.99983
     -50.76828      25.99983
     -50.70628      25.99983
     -50.64428      25.99983
     -50.58228      25.99983
     -50.52028      25.99983
     -50.45828      25.99983
     -50.39628      25.99983
     -50.33428      25.99983
     -50.27228      25.99983
     -50.21028      25.99983
     -50.14828      25.99983
     -50.08628      25.99983
     -50.02328      25.99983
     -49.96128      25.99983
     -49.89928      25.99983
     -49.83728      25.99983
     -49.77528      25.99983
     -49.71328      25.99983
     -49.65128      25.99985
     -49.58928      26.00065
     -49.52728      26.01196
     -49.46528      26.09313
     -49.40328      26.40189
     -49.34128      27.08004
     -49.27928      28.04200
     -49.21728      29.02506
     -49.15528      29.85452
     -49.09328      30.59430
     -49.03128      31.30615
     -48.96828      31.90735
     -48.90628      32.51227
     -48.84428      33.38455
     -48.78228      34.55566
     -48.72028      35.84159
     -48.65828      36.96026
     -48.59628      37.65479
     -48.53428      37.92880
     -48.47228      37.99146
     -48.41028      38.00588
     -48.34828      38.06247
     -48.28628      38.29542
