      #Energy        tdos
     -65.62253       0.00000
     -65.55353       0.00000
     -65.48453       0.00000
     -65.41553       0.00000
     -65.34653       0.00001
     -65.27753       0.00047
     -65.20853       0.01194
     -65.13953       0.14235
     -65.06953       0.86264
     -65.00053       2.92366
     -64.93153       6.18406
     -64.86253       9.36780
     -64.79353      11.71373
     -64.72453      13.18560
     -64.65553      13.83094
     -64.58653      13.98267
     -64.51753      13.99919
     -64.44853      13.99997
     -64.37953      13.99998
     -64.31053      13.99998
     -64.24153      13.99998
     -64.17253      13.99998
     -64.10253      13.99998
     -64.03353      13.99998
     -63.96453      13.99998
     -63.89553      13.99998
     -63.82653      13.99998
     -63.75753      13.99998
     -63.68853      13.99998
     -63.61953      13.99998
     -63.55053      13.99998
     -63.48153      13.99998
     -63.41253      13.99998
     -63.34353      13.99998
     -63.27453      13.99998
     -63.20553      13.99998
     -63.13653      13.99998
     -63.06653      13.99998
     -62.99753      13.99998
     -62.92853      13.99998
     -62.85953      13.99998
     -62.79053      13.99998
     -62.72153      13.99998
     -62.65253      13.99998
     -62.58353      13.99998
     -62.51453      13.99998
     -62.44553      13.99998
     -62.37653      13.99998
     -62.30753      13.99998
     -62.23853      13.99998
     -62.16953      13.99998
     -62.09953      13.99998
     -62.03053      13.99998
     -61.96153      13.99998
     -61.89253      13.99998
     -61.82353      13.99998
     -61.75453      13.99998
     -61.68553      13.99998
     -61.61653      13.99998
     -61.54753      13.99998
     -61.47853      13.99998
     -61.40953      13.99998
     -61.34053      13.99998
     -61.27153      13.99998
     -61.20253      13.99998
     -61.13353      13.99998
     -61.06353      13.99998
     -60.99453      13.99998
     -60.92553      13.99998
     -60.85653      13.99998
     -60.78753      13.99998
     -60.71853      13.99998
     -60.64953      13.99998
     -60.58053      13.99998
     -60.51153      13.99998
     -60.44253      13.99998
     -60.37353      13.99998
     -60.30453      13.99998
     -60.23553      13.99998
     -60.16653      13.99998
     -60.09653      13.99998
     -60.02753      13.99998
     -59.95853      13.99998
     -59.88953      13.99998
     -59.82053      13.99998
     -59.75153      13.99998
     -59.68253      13.99998
     -59.61353      13.99998
     -59.54453      13.99998
     -59.47553      13.99998
     -59.40653      13.99998
     -59.33753      13.99998
     -59.26853      13.99998
     -59.19953      13.99998
     -59.13053      13.99998
     -59.06053      13.99998
     -58.99153      13.99998
     -58.92253      13.99998
     -58.85353      13.99998
     -58.78453      13.99998
     -58.71553      13.99998
     -58.64653      13.99998
     -58.57753      13.99998
     -58.50853      13.99998
     -58.43953      13.99998
     -58.37053      13.99998
     -58.30153      13.99998
     -58.23253      13.99998
     -58.16353      13.99998
     -58.09353      13.99998
     -58.02453      13.99998
     -57.95553      13.99998
     -57.88653      13.99998
     -57.81753      13.99998
     -57.74853      13.99998
     -57.67953      13.99998
     -57.61053      13.99998
     -57.54153      13.99998
     -57.47253      13.99998
     -57.40353      13.99998
     -57.33453      13.99998
     -57.26553      13.99998
     -57.19653      13.99998
     -57.12753      13.99998
     -57.05753      13.99998
     -56.98853      13.99998
     -56.91953      13.99998
     -56.85053      13.99998
     -56.78153      13.99998
     -56.71253      13.99998
     -56.64353      13.99998
     -56.57453      13.99998
     -56.50553      13.99998
     -56.43653      13.99998
     -56.36753      13.99998
     -56.29853      13.99998
     -56.22953      14.00007
     -56.16053      14.00285
     -56.09053      14.04479
     -56.02153      14.33981
     -55.95253      15.41857
     -55.88353      17.76795
     -55.81453      21.20069
     -55.74553      24.66864
     -55.67653      26.94102
     -55.60753      27.80925
     -55.53853      27.98255
     -55.46953      27.99902
     -55.40053      27.99972
     -55.33153      27.99973
     -55.26253      27.99973
     -55.19353      27.99973
     -55.12453      27.99973
     -55.05453      27.99973
     -54.98553      27.99973
     -54.91653      27.99973
     -54.84753      27.99973
     -54.77853      27.99973
     -54.70953      27.99973
     -54.64053      27.99973
     -54.57153      27.99973
     -54.50253      27.99973
     -54.43353      27.99973
     -54.36453      27.99973
     -54.29553      27.99973
     -54.22653      27.99973
     -54.15753      27.99973
     -54.08753      27.99973
     -54.01853      27.99973
     -53.94953      27.99973
     -53.88053      27.99973
     -53.81153      27.99973
     -53.74253      27.99973
     -53.67353      27.99973
     -53.60453      27.99973
     -53.53553      27.99973
     -53.46653      27.99973
     -53.39753      27.99973
     -53.32853      27.99973
     -53.25953      27.99973
     -53.19053      27.99973
     -53.12053      27.99973
     -53.05153      27.99973
     -52.98253      27.99973
     -52.91353      27.99973
     -52.84453      27.99973
     -52.77553      27.99973
     -52.70653      27.99973
     -52.63753      27.99973
     -52.56853      27.99973
     -52.49953      27.99973
     -52.43053      27.99973
     -52.36153      27.99973
     -52.29253      27.99973
     -52.22353      27.99973
     -52.15453      27.99973
     -52.08453      27.99973
     -52.01553      27.99973
     -51.94653      27.99973
     -51.87753      27.99973
     -51.80853      27.99973
     -51.73953      27.99973
     -51.67053      27.99973
     -51.60153      27.99973
     -51.53253      27.99973
     -51.46353      27.99973
     -51.39453      27.99973
     -51.32553      27.99973
     -51.25653      27.99973
     -51.18753      27.99973
     -51.11753      27.99973
     -51.04853      27.99973
     -50.97953      27.99973
     -50.91053      27.99973
     -50.84153      27.99973
     -50.77253      27.99973
     -50.70353      27.99973
     -50.63453      27.99973
     -50.56553      27.99973
     -50.49653      27.99973
     -50.42753      27.99973
     -50.35853      27.99973
     -50.28953      27.99973
     -50.22053      27.99973
     -50.15153      27.99973
     -50.08153      27.99973
     -50.01253      27.99973
     -49.94353      27.99973
     -49.87453      27.99973
     -49.80553      27.99973
     -49.73653      27.99973
     -49.66753      27.99973
     -49.59853      27.99973
     -49.52953      27.99973
     -49.46053      27.99973
     -49.39153      27.99973
     -49.32253      27.99973
     -49.25353      27.99973
     -49.18453      27.99973
     -49.11453      27.99973
     -49.04553      27.99973
     -48.97653      27.99973
     -48.90753      27.99973
     -48.83853      27.99973
     -48.76953      27.99973
     -48.70053      27.99973
     -48.63153      27.99973
     -48.56253      27.99973
     -48.49353      27.99973
     -48.42453      27.99973
     -48.35553      27.99973
     -48.28653      27.99973
     -48.21753      27.99973
     -48.14853      27.99973
     -48.07853      27.99973
     -48.00953      27.99973
     -47.94053      27.99973
     -47.87153      27.99973
     -47.80253      27.99973
     -47.73353      27.99973
     -47.66453      27.99973
     -47.59553      27.99973
     -47.52653      27.99973
     -47.45753      27.99973
     -47.38853      27.99973
     -47.31953      27.99973
     -47.25053      27.99973
     -47.18153      27.99973
     -47.11153      27.99973
     -47.04253      27.99973
     -46.97353      27.99973
     -46.90453      27.99973
     -46.83553      27.99973
     -46.76653      27.99973
     -46.69753      27.99973
     -46.62853      27.99973
     -46.55953      27.99973
     -46.49053      27.99973
     -46.42153      27.99973
     -46.35253      27.99973
     -46.28353      27.99973
     -46.21453      27.99973
     -46.14553      27.99973
     -46.07553      27.99973
     -46.00653      27.99973
     -45.93753      27.99973
     -45.86853      27.99973
     -45.79953      27.99973
     -45.73053      27.99973
     -45.66153      27.99973
     -45.59253      27.99973
     -45.52353      27.99973
     -45.45453      27.99973
     -45.38553      27.99973
     -45.31653      27.99973
     -45.24753      27.99973
     -45.17853      27.99973
     -45.10853      27.99973
     -45.03953      27.99973
     -44.97053      27.99973
     -44.90153      27.99973
     -44.83253      27.99973
     -44.76353      27.99973
     -44.69453      27.99973
     -44.62553      27.99973
     -44.55653      27.99973
     -44.48753      27.99973
     -44.41853      27.99973
     -44.34953      27.99973
     -44.28053      27.99974
     -44.21153      27.99996
     -44.14253      28.00552
     -44.07253      28.06450
     -44.00353      28.33850
     -43.93453      28.93771
     -43.86553      29.64985
     -43.79653      30.49632
     -43.72753      32.51521
     -43.65853      37.19844
     -43.58953      44.60644
     -43.52053      52.57701
     -43.45153      58.76491
     -43.38253      62.30470
     -43.31353      63.66481
     -43.24453      63.96425
     -43.17553      63.99719
     -43.10553      63.99884
     -43.03653      63.99888
     -42.96753      63.99888
     -42.89853      63.99888
     -42.82953      63.99888
     -42.76053      63.99888
     -42.69153      63.99888
     -42.62253      63.99888
     -42.55353      63.99888
     -42.48453      63.99888
     -42.41553      63.99888
     -42.34653      63.99888
     -42.27753      63.99888
     -42.20853      63.99888
     -42.13953      63.99888
     -42.06953      63.99888
     -42.00053      63.99888
     -41.93153      63.99888
     -41.86253      63.99888
     -41.79353      63.99888
     -41.72453      63.99888
     -41.65553      63.99888
     -41.58653      63.99888
     -41.51753      63.99888
     -41.44853      63.99888
     -41.37953      63.99888
     -41.31053      63.99888
     -41.24153      63.99888
     -41.17253      63.99888
     -41.10253      63.99888
     -41.03353      63.99888
     -40.96453      63.99888
     -40.89553      63.99888
     -40.82653      63.99888
     -40.75753      63.99888
     -40.68853      63.99888
     -40.61953      63.99888
     -40.55053      63.99888
     -40.48153      63.99888
     -40.41253      63.99888
     -40.34353      63.99888
     -40.27453      63.99888
     -40.20553      63.99888
