      #Energy        tdos
     -59.04998       0.00000
     -58.98598       0.00000
     -58.92198       0.00000
     -58.85798       0.00000
     -58.79398       0.00000
     -58.72998       0.00000
     -58.66598       0.00000
     -58.60198       0.00000
     -58.53698       0.00000
     -58.47298       0.00000
     -58.40898       0.00000
     -58.34498       0.00000
     -58.28098       0.00000
     -58.21698       0.00000
     -58.15298       0.00000
     -58.08898       0.00000
     -58.02498       0.00000
     -57.96098       0.00001
     -57.89698       0.00050
     -57.83298       0.00896
     -57.76898       0.07906
     -57.70498       0.37638
     -57.64098       1.10584
     -57.57698       2.36118
     -57.51198       4.16170
     -57.44798       6.36678
     -57.38398       8.58308
     -57.31998      10.39577
     -57.25598      11.61876
     -57.19198      12.45960
     -57.12798      13.18768
     -57.06398      13.71740
     -56.99998      13.94393
     -56.93598      13.99409
     -56.87198      13.99953
     -56.80798      13.99980
     -56.74398      13.99981
     -56.67998      13.99981
     -56.61598      13.99981
     -56.55198      13.99981
     -56.48698      13.99981
     -56.42298      13.99981
     -56.35898      13.99981
     -56.29498      13.99981
     -56.23098      13.99981
     -56.16698      13.99981
     -56.10298      13.99981
     -56.03898      13.99983
     -55.97498      14.00072
     -55.91098      14.01644
     -55.84698      14.15846
     -55.78298      14.84907
     -55.71898      16.75530
     -55.65498      19.87650
     -55.59098      23.01244
     -55.52598      24.98913
     -55.46198      25.77648
     -55.39798      25.97011
     -55.33398      25.99754
     -55.26998      25.99958
     -55.20598      25.99966
     -55.14198      25.99966
     -55.07798      25.99966
     -55.01398      25.99966
     -54.94998      25.99966
     -54.88598      25.99966
     -54.82198      25.99966
     -54.75798      25.99966
     -54.69398      25.99966
     -54.62998      25.99966
     -54.56598      25.99966
     -54.50098      25.99966
     -54.43698      25.99966
     -54.37298      25.99966
     -54.30898      25.99966
     -54.24498      25.99966
     -54.18098      25.99966
     -54.11698      25.99966
     -54.05298      25.99966
     -53.98898      25.99966
     -53.92498      25.99966
     -53.86098      25.99966
     -53.79698      25.99966
     -53.73298      25.99966
     -53.66898      25.99966
     -53.60498      25.99966
     -53.53998      25.99966
     -53.47598      25.99966
     -53.41198      25.99966
     -53.34798      25.99966
     -53.28398      25.99966
     -53.21998      25.99966
     -53.15598      25.99966
     -53.09198      25.99966
     -53.02798      25.99966
     -52.96398      25.99966
     -52.89998      25.99966
     -52.83598      25.99966
     -52.77198      25.99966
     -52.70798      25.99966
     -52.64398      25.99966
     -52.57998      25.99966
     -52.51498      25.99966
     -52.45098      25.99966
     -52.38698      25.99966
     -52.32298      25.99966
     -52.25898      25.99966
     -52.19498      25.99966
     -52.13098      25.99966
     -52.06698      25.99966
     -52.00298      25.99966
     -51.93898      25.99966
     -51.87498      25.99966
     -51.81098      25.99966
     -51.74698      25.99966
     -51.68298      25.99966
     -51.61898      25.99966
     -51.55498      25.99966
     -51.48998      25.99966
     -51.42598      25.99966
     -51.36198      25.99966
     -51.29798      25.99966
     -51.23398      25.99966
     -51.16998      25.99966
     -51.10598      25.99966
     -51.04198      25.99966
     -50.97798      25.99966
     -50.91398      25.99966
     -50.84998      25.99966
     -50.78598      25.99966
     -50.72198      25.99966
     -50.65798      25.99966
     -50.59398      25.99966
     -50.52898      25.99966
     -50.46498      25.99966
     -50.40098      25.99966
     -50.33698      25.99966
     -50.27298      25.99966
     -50.20898      25.99966
     -50.14498      25.99966
     -50.08098      25.99966
     -50.01698      25.99966
     -49.95298      25.99966
     -49.88898      25.99966
     -49.82498      25.99966
     -49.76098      25.99966
     -49.69698      25.99966
     -49.63298      25.99966
     -49.56898      25.99966
     -49.50398      25.99966
     -49.43998      25.99966
     -49.37598      25.99966
     -49.31198      25.99966
     -49.24798      25.99966
     -49.18398      25.99966
     -49.11998      25.99966
     -49.05598      25.99966
     -48.99198      25.99966
     -48.92798      25.99966
     -48.86398      25.99966
     -48.79998      25.99966
     -48.73598      25.99966
     -48.67198      25.99966
     -48.60798      25.99966
     -48.54298      25.99966
     -48.47898      25.99966
     -48.41498      25.99966
     -48.35098      25.99966
     -48.28698      25.99966
     -48.22298      25.99966
     -48.15898      25.99966
     -48.09498      25.99966
     -48.03098      25.99966
     -47.96698      25.99966
     -47.90298      25.99966
     -47.83898      25.99966
     -47.77498      25.99966
     -47.71098      25.99966
     -47.64698      25.99966
     -47.58298      25.99966
     -47.51798      25.99966
     -47.45398      25.99966
     -47.38998      25.99966
     -47.32598      25.99966
     -47.26198      25.99966
     -47.19798      25.99966
     -47.13398      25.99966
     -47.06998      25.99966
     -47.00598      25.99966
     -46.94198      25.99966
     -46.87798      25.99966
     -46.81398      25.99966
     -46.74998      25.99966
     -46.68598      25.99966
     -46.62198      25.99966
     -46.55798      25.99966
     -46.49298      25.99966
     -46.42898      25.99966
     -46.36498      25.99966
     -46.30098      25.99966
     -46.23698      25.99966
     -46.17298      25.99966
     -46.10898      25.99966
     -46.04498      25.99966
     -45.98098      25.99966
     -45.91698      25.99966
     -45.85298      25.99966
     -45.78898      25.99966
     -45.72498      25.99966
     -45.66098      25.99966
     -45.59698      25.99966
     -45.53198      25.99966
     -45.46798      25.99966
     -45.40398      25.99966
     -45.33998      25.99966
     -45.27598      25.99966
     -45.21198      25.99966
     -45.14798      25.99966
     -45.08398      25.99966
     -45.01998      25.99966
     -44.95598      25.99966
     -44.89198      25.99966
     -44.82798      25.99966
     -44.76398      25.99966
     -44.69998      25.99966
     -44.63598      25.99966
     -44.57198      25.99966
     -44.50698      25.99966
     -44.44298      25.99966
     -44.37898      25.99966
     -44.31498      25.99966
     -44.25098      25.99966
     -44.18698      25.99966
     -44.12298      25.99966
     -44.05898      25.99966
     -43.99498      25.99966
     -43.93098      25.99966
     -43.86698      25.99966
     -43.80298      25.99966
     -43.73898      25.99966
     -43.67498      25.99966
     -43.61098      25.99966
     -43.54598      25.99966
     -43.48198      25.99966
     -43.41798      25.99966
     -43.35398      25.99966
     -43.28998      25.99966
     -43.22598      25.99966
     -43.16198      25.99966
     -43.09798      25.99966
     -43.03398      25.99966
     -42.96998      25.99966
     -42.90598      25.99966
     -42.84198      25.99966
     -42.77798      25.99966
     -42.71398      25.99966
     -42.64998      25.99966
     -42.58598      25.99966
     -42.52098      25.99966
     -42.45698      25.99966
     -42.39298      25.99966
     -42.32898      25.99966
     -42.26498      25.99966
     -42.20098      25.99966
     -42.13698      25.99966
     -42.07298      25.99966
     -42.00898      25.99966
     -41.94498      25.99966
     -41.88098      25.99966
     -41.81698      25.99966
     -41.75298      25.99966
     -41.68898      25.99966
     -41.62498      25.99966
     -41.56098      25.99966
     -41.49598      25.99966
     -41.43198      25.99966
     -41.36798      25.99966
     -41.30398      25.99966
     -41.23998      25.99966
